	ID	x	y	z	radius	volume_total	volume_nuclear_fluid	volume_nuclear_solid	volume_cytoplasmic_fluid	volume_cytoplasmic_solid	volume_calcified_fraction	phenotype	elapsed_time
221	1547	143.969	435.669	0	1.96439	31.7519	0.000380656	26.7798	7.57716e-05	4.97159	0	100	258
222	222	296.34	279.053	0	2.93678	106.097	6.05299e-10	0.269425	2.37524e-07	105.828	0.000419824	102	28302
223	223	323.944	376.5	0	2.94913	107.441	7.64608e-10	0.283446	2.88778e-07	107.157	0.000419824	102	28068
224	1106	297.773	309.768	0	8.39947	2482.24	403.796	134.828	1456.99	486.625	0	14	1068
225	1554	345.656	230.695	0	8.41271	2494	405	135	1465.5	488.5	0	14	3744
226	833	313.002	384.909	0	2.948	107.318	7.50965e-10	0.282334	2.8442e-07	107.036	0.000419824	102	28086
227	227	249.006	359.413	0	2.93111	105.483	5.43423e-10	0.263189	2.17041e-07	105.22	0.000419824	102	28410
228	872	226.106	446.346	0	2.8315	95.0911	5.05056e-10	0.249136	1.92078e-07	94.8419	0.000419824	102	28374
229	1848	206.97	232.899	0	8.41271	2494	405	135	1465.5	488.499	0	14	2862
230	1680	435.198	363.849	0	8.40986	2491.47	404.776	134.973	1463.63	488.085	0	14	1398
231	609	230.167	449.796	0	2.94596	107.095	7.20148e-10	0.279783	2.74667e-07	106.815	0.000419824	102	28128
232	760	187.717	303.821	0	2.93994	106.44	6.4267e-10	0.272952	2.49727e-07	106.167	0.000419824	102	28242
233	233	368.245	397.326	0	2.94627	107.129	7.24475e-10	0.280147	2.76046e-07	106.849	0.000419824	102	28122
234	622	230.779	135.212	0	2.93836	106.269	6.23705e-10	0.271183	2.43549e-07	105.997	0.000419824	102	28272
235	1237	257.301	165.794	0	8.41271	2494	405	135	1465.5	488.5	0	14	5022
236	1010	287.486	360.615	0	8.41271	2494	405	135	1465.5	488.5	0	14	6438
237	237	375.84	410.223	0	2.95548	108.136	8.61934e-10	0.290917	3.19213e-07	107.845	0.000419824	102	27948
238	238	384.276	181.569	0	2.93584	105.995	5.94518e-10	0.268375	2.33981e-07	105.726	0.000419824	102	28320
239	784	327.164	230.323	0	2.94026	106.474	6.46531e-10	0.273307	2.50981e-07	106.201	0.000419824	102	28236
240	240	193.045	182.924	0	2.9371	106.132	6.08936e-10	0.269775	2.38717e-07	105.862	0.000419824	102	28296
241	509	180.107	457.281	0	2.94659	107.164	7.28828e-10	0.280511	2.77433e-07	106.883	0.000419824	102	28116
242	772	184.616	200.007	0	2.94786	107.302	7.46504e-10	0.281975	2.83049e-07	107.02	0.000419824	102	28092
